ArduinoBlocks Plotter + Datalogger
DateTime;Valor actual del potenciómetro: 
8/11/2022, 12:19:45;0
8/11/2022, 12:19:46;0
8/11/2022, 12:19:47;1
8/11/2022, 12:19:48;38
8/11/2022, 12:19:49;60
8/11/2022, 12:19:50;92
8/11/2022, 12:19:51;152
8/11/2022, 12:19:52;172
8/11/2022, 12:19:53;249
8/11/2022, 12:19:54;249
8/11/2022, 12:19:55;249
8/11/2022, 12:19:56;215
8/11/2022, 12:19:57;156
8/11/2022, 12:19:58;120
8/11/2022, 12:19:59;87
8/11/2022, 12:20:00;114
8/11/2022, 12:20:01;133
8/11/2022, 12:20:02;133
8/11/2022, 12:20:03;134
8/11/2022, 12:20:04;166
8/11/2022, 12:20:05;205
8/11/2022, 12:20:06;194
8/11/2022, 12:20:07;135
8/11/2022, 12:20:08;105
8/11/2022, 12:20:09;95
8/11/2022, 12:20:10;95

